내용링크,이름,카테고리,브랜드,브랜드_한글,성별,평점,리뷰수,태그,좋아요 수,조회수,구매수,인기 나이,인기 성별,가격,리뷰1,리뷰2,리뷰3,리뷰4,리뷰5,리뷰6,리뷰7,리뷰8,리뷰9,리뷰10
https://www.musinsa.com/app/goods/3034895?loc=goods_rank,"
Velour Soccer Jersey Black
",피케/카라 티셔츠,SCULPTOR,(스컬프터),여,4.9,후기 666개 보기,#카라티셔츠#스웻셔츠#스웨트셔츠#카라티#긴팔티셔츠#축구,"21,234",1만 회 이상,3.5천 개 이상,19~28,남성,"98,425 ~ 107,100원",진짜 실물 너무 이쁘고 핏도 좋고 재질도 부들부들하니 편하면서 이쁩니다ㅎㅎ 스타일 내기에 너무 좋네용,진짜 커플티로 입으면 이뻐요 날씨 쌀쌀해지면 커플티로 입어보는것도 좋아여,"우선 되게 이쁘고, 축구 유니폼 느낌이 나서 좋았습니다.",색감이나 촉감 사이즈 다 맘에들었음 배송도 꼼꼼하니 굿,너무 예뻐서 엄청 자주입었어요 최애 옷 됐어요 핏도 예쁘고 디자인도 최고,"부들부들한게 정말 좋아요
여름빼고 다 입습니당",좀 많이 화려해서 자주는 못입고있어요. 생각보다두꼐감은 얇은데 그래도 여름엔 안됨.,이뻐요 옷이 트렌디해요 y2k정석이에요 제가 코디를 못해서 잡탕으로 소화하지도 못했는데 옷 잘 입는 분들이 입으면 최고일거ㅜ같아요,봄에 짱 잘 입고 다녔어용 빨리 가을 돼서 입고 다니고 싶음,핏도 좋고 친구들한테 이쁘다고 칭찬도 많이 받았어요
https://www.musinsa.com/app/goods/3298575?loc=goods_rank,"
[무료반품]
아트 클럽 풋볼 반팔티 화이트
",반소매 티셔츠,FALLETT,(팔렛),"남
여",4.9,후기 14개 보기,,"2,276",9.4천 회 이상,200개 이상,40,여성,"29,792 ~ 39,200원",너무 예뻐요 살짝 오버핏이여서 더 맘에 들어요 천도 탄탄하니 좋은 것같고 실물로 봤을때 퀄리티 대박입니다 배송도 빨라서 좋았어요!,이쁘네요 잘 받았습니다 기여워요 ㅎㅎ잘 입을거같아요,없음,없음,없음,없음,없음,없음,없음,없음
https://www.musinsa.com/app/goods/3154978?loc=goods_rank,"
punching frill blouse BLACK
",셔츠/블라우스,AVANDRESS,(어반드레스),여,4.8,후기 154개 보기,#여자블라우스#블라우스#여성블라우스#프릴#크롭#여름블라우스#우먼라인,"3,601",1.1만 회 이상,700개 이상,19~28,여성,"30,878 ~ 33,600원",화이트도 샀는데 너무 예뻐서 블랙도 샀어요! 너무너무 예쁘규 여리여리해영,엄청 부드러워서 예민하신 분들도 걱정없이 입으실 수 있을 것 같아요!,이뻐요~어깨부분이 넓지만 괜찮아요..팔부분이 조인단말이있는데 괜찮았어요,"어깨 깡패인데, 어깨 프릴??이 가려줘서 좋아요 그리고 기장도 너무 짧지 않아서 편하구요! 스퀘어넥 디자인 좋아하는데 아주 맘에듭니다!",치마와 같이 입으니 단아하면서도 레련되 보이고 좋네요,생각보다 안짧아서 하이웨스트 바지에 입기 너무 좋아요! 이뻐요~ 요즘 날씨에 입기 좋습니당,세일해서 샀어요 반팔 자켓으로 입어도 이쁠 것 같아요 블랙 깔맞춤해도 로맨틱해보여요,"사이즈 혹시나 작을까봐 걱정했는데 예쁘게 잘맞아요~
무난하게 잘 입어질거같아여",저 같은 돼지에 가슴 사이즈 있는 사람도 넉넉하게 맞아용,"팔에 퍼프도 딱 좋고 다 괜찮아요!
다만 좀 커서 등부분이 뜨지만 감안하고 입을정도로 이쁩니다"
https://www.musinsa.com/app/goods/1908616?loc=goods_rank,"
매치오버핏 반팔셔츠 하늘 BJSS4426
Match Over Fit Half Shirt SkyBlue BJSS4426
",셔츠/블라우스,PERSTEP,(퍼스텝),남,4.8,후기 411개 보기,#남자반팔셔츠#반팔셔츠#여름반팔셔츠#셔츠#오버핏셔츠#면#여름셔츠,"2,386",6천 회 이상,750개 이상,19~28,남성,"31,008 ~ 32,300원","색상이 생각보다 찐한 하늘색입니다. 약간 밝았다면, 소매도 약간 더 오버핏으로 팔꿈치까지 왓다면 더 이뻤을듯하네요","생각보다 색감이 밝아요
대신 핏은 예쁩니다
요즘날씨에는 조금 더워요","작년에 너무 흔해서 안 사고 올해 샀는데
진작 살 걸 그랬네요 너무 예쁨",벙벙한 시티보이 룩인데 저는 넣입해서 입었어요,"요즘 우후죽순 나오는 너무 오버한 시티보이핏들 입으면
거적대기 같은데 적당히 딱 세미오버해서 좋았어요",색감이 시원해서 여름에 입기 딱 좋은 거 같습니다ㅎㅎ,셔츠가 예쁘고 색깔도 좋고 디자인도 너무 이뻐서 이렇게 입으니까 너무 좋고 사길 잘한 것 같아요 이 셔츠 하나 있으시면 되게 코디할 때 문제가 많이 줄어들 것 같아요.,처음으로 아들이 사고싶다는 옷이 퍼스텝 매치오버핏 반팔셔츠예요. 아들 오늘 입고 학원갔는데 너무 이뻐요. 종종 무신사을 이용 하겠는데요.,"여름에 활용하기 좋은 반팔셔츠 ! 핏감도 오버하게 예쁘게
떨어지고 파스텔톤이 너무 예쁜 셔츠",아주 얇지는 않지만 여름에 입기 충분합니다. 오히려 너무 안 얇아서 체형보완에 유리해요. 퀄도 좋고 가성비 최고입니다.
https://www.musinsa.com/app/goods/3334961?loc=goods_rank,"
23SS MAISON HALF T 2PACK
",반소매 티셔츠,MAISON MINED,(메종미네드),남,5,후기 19개 보기,,472,3.2천 회 이상,200개 이상,19~28,남성,"76,800원","디자인과 색감 모두 휼륭합니다
자주 착용할거 같아용",메종미네드 반팔 사는거 고민중 2pack나온대서 기다리다가 샀어요 만족,없음,없음,없음,없음,없음,없음,없음,없음
https://www.musinsa.com/app/goods/3140047?loc=goods_rank,"
(에센셜) 유니섹스 뉴 AB 프린트 티셔츠 atb897u(BLACK)
(ESSENTIAL) UNISEX NEW AB PRINT T-SHIRTS atb897u(BLACK)
",반소매 티셔츠,ANDERSSON BELL,(앤더슨벨),남,4.8,후기 91개 보기,#반팔#반팔티#반팔티셔츠#티셔츠#반소매,368,3.5천 회 이상,250개 이상,24~33,남성,"45,622 ~ 52,500원",가격 세일할 때 구매해서 저렴하게 잘 샀습니다. 사이즈 잘맞고 색감이 이뻐서 자주 입을 것 같습니다.,178 100. 싸이즈 크지도 않고 적당해요 배가 많이 나온편인데 적당하니 날씬해 보여요 앤더슨벨 반팔 티 싸이즈 미스한게 많은데 적당해요 세일할때 잘산것 같아요 👍,생각보다 탄탄하고 핏감도 좋네요 다만 처음 옷 받았을때 식초처럼 시큼시큼한 냄새가 많이나서 그건 좀 아쉽네요,"사이즈는 핏한 느낌이고 오버한 느낌은 아녜용
원단 탄탄한 탄성 없는 느낌의 원단이고
적당히 좋습니다 예뻐요 ㅎ",핏이 너무 예쁘게 떨어지고 무난하게 입을 수 있을 것 같아요 추천드려요!!,할인할때 좋은가격에 구매했어요 사이즈감 좋구 원단도 좋구 핏도 잘잡혀요! 뒷면 프린팅이 너무 이뻐요 ㅠ,제품 자체가 조금 짱짱한 느낌이어서 잘 늘어나지 않고 오래입을수 있을거 같습니다 대신 다른 타반팔 제품보단 조금 두꺼워욥,"총장은 보통 68 ~ 70 입어서 그런지 조금 길다는 느낌을 받음
자수 퀄이랑 프린팅 퀄은 최고고 넥도 탄탄함",디자인 품질 만족스러워요 마감도 좋고 프린팅도 좋고 잘 입을 것 같아요,원단 조금 두껍고 뻣뻣합니다 핏도 나쁘지 않고 색감도 좋네요 추천합니다
https://www.musinsa.com/app/goods/3310057?loc=goods_rank,"
22S/S 어센틱 로고 티셔츠 화이트
",반소매 티셔츠,COVERNAT,(커버낫),남,4.6,후기 88개 보기,#티셔츠#반팔#여름반팔티#반팔티#여름티셔츠#반팔티셔츠#바캉스추천,"1,580",8.3천 회 이상,1천 개 이상,40,여성,"21,505 ~ 23,400원","배송도 빠르고 제품 퀄리티도 좋고 핏도 마음에들어요
사이즈도 딱 좋아요
번창하세요","원하던 핏 그대로 연출되어 아주 좋았고 선택 장애가 있어
힘들게 골랐는데 아주 만족하고있습니다",흰 반팔티 뭐 살까하다가 커버낫 반팔티가 싸게 있길래 바로 get했습니다.,"박시하게나와서 넉넉한 사이즈 티는 깔끔하네요.
아들이 데일리로 잘입어요,",사이즈M 오버핏 입니다 딱 맞게 입어도 예뻤겠지만 오버핏으로 입어도 괜찮네요 면이 부드럽고 좋아서 자주 입게 될꺼 같아요,사이즈 딱맞아요 살짝 오버한게 너무 예쁩니다 마니 파세요ㅎㅎ,기본티로도 손색없고 티셔츠에 청바지만 입어도 이쁘네요.,적당히 오버핏으로 휘뚜루마뚜루 입기 딱 좋아요 사세요~,커버낫 반팔티는 색깔별로 구비하고 있는 커버낫 광팬인데요. 흰색티가 좀 누래져서 새로 구매했는데 역시 너무 좋네요,없음
https://www.musinsa.com/app/goods/2024234?loc=goods_rank,"
[무료반품]
[23SS Ver.]시티보이 빅오버 옥스포드 셔츠_Off White
",셔츠/블라우스,LAFUDGESTORE,(라퍼지스토어),"남
여",4.8,"후기 6,295개 보기",#셔츠#시티보이#긴팔셔츠#남자셔츠#남녀공용#72시간특가#장마,"26,290",3.8천 회 이상,9.5천 개 이상,19~28,남성,"23,008 ~ 32,000원","린넨셔츠 정말 좋습니다
다음에도 또 시킬거같으요 ~~",오버핏이라 부담없이 입기 편하고 가성비 최고입니다,생각보다 박시해요. 간절기때 입고다니면 편할듯합니다.,"린넨이라 그런가 주름이 엄청 있어요
아우터로 입으려고 샀는데 생각보다 엄청 얇지는 않아서
좀 선선해지면 입어야될 것 같아요",사이즈가 생각보다 큽니다! 치수 잘 확인하시고 구매하세요!,평상시에도 여행중에도 막입고다니기 좋아서 자주 손이가는 제품이고요 디자인도 예쁩니다 사이즈도 적당함,"핏감, 재질도 너무 좋고 저렴한 가격에 잘 입고 있습니다",오버핏 너무 이뻐요 색감도 좋고 흰색이라 부담스럽지만 이뻐서 구매해버렸어요,핏도 좋고 착용감도 편합니다. 저랑 비슷한 스펙이면 무조건 s 추천 드립니다.,"사이즈는 좀 커요
오버핏이여서 바지도 오버핏으로 가는게 좋을거 같아요"
https://www.musinsa.com/app/goods/3072947?loc=goods_rank,"
[PPG X FANCY] P.P.G 코믹스 피그먼트 브이넥 티 (CHARCOAL)_F23PG1005
[PPG X FANCY] P.P.G COMICS PIGMENT V-NECK TEE (CHARCOAL)_F23PG1005
",반소매 티셔츠,NASTY FANCY CLUB,(네스티팬시클럽),여,4.8,후기 129개 보기,#그래픽티셔츠#23S/S컬렉션#오버핏반팔#반팔티추천#콜라보레이션#네스티팬시클럽×파워퍼프걸#23SPRING,"4,831",8.9천 회 이상,700개 이상,19~28,여성,"37,495 ~ 40,800원",파워퍼프걸 좋아해서 샀는데 핏이 너무 예뻐서 잘 입고 다녀요!,많이 길어요. 입기 약간 애매할 정도? 근데 너무 귀여워요 파워퍼프걸. 그래서 만족합니다. 조금 더워요.,생각보다 두꺼워서 환절기에 입으면 좋을 것 같아요 이뻐용,파워퍼프걸 유년시절부터 덕질했던 성인으로서 매우 만족스럽습니다. 귀엽고 힙해요! 재질은 약간 두께감있고 탄탄해서 여름~가을 착용 가능할 것 같아요ㅎㅎ. 이번에 뉴진스퍼프걸도 정말 귀엽게 봤는데 앞으로도 이런 콜라보 많이 했음 좋겠습니다🐰💖🖤,넘 합하고 키치하고 이뻐요 근데 넘 길아요 잘라서 입거나 길어도 좋은사람만 사는게 좋을것같아요~,"올해 최고 반팔티에용
두껍고 귀엽고 파워퍼프걸~!
이 옷만 입으면 모델언니처럼 머리 땋고 다니고 있어요 ㅋㅋ",Nice… so good…사이즈가 맞습니다,제가 키가 큰 편인데도 좀 옷이 커요! 그런대로 프린팅이 귀여워서 넘 예뻐요 ㅎㅎ,커서 동생줬는데 덩치 많이 안큰 남자가 입기도 괜찮아요 소재가 탄탄한 편입니다,160 기준 엉덩이 완전 덮고 조금 더 길어요 가슴단면이 조금 더 넓었으면 싶고 어깨가 사알짝 넓어 보이지만 집에서 입을 거고 파워퍼프걸 보고 산 거기 때문에 괜찮아요 귀엽습니당
https://www.musinsa.com/app/goods/3299035?loc=goods_rank,"
[2pack]스탠다드 머슬핏 카라티
MUSCLE FIT COLLAR
",상의,JELEVE,피케/카라 티셔츠,남,4.9,후기 15개 보기,#머슬핏카라티#머슬핏반팔티#머슬핏#남자반팔티#카라반팔#카라티#카라티셔츠,143,2.3천 회 이상,150개 이상,29~33,남성,"68,925 ~ 75,000원",잘입겠습니다 옷 이쁘네요 감사합니다 번창하세오,제 스펙에 근돼이신분들은 xl 추천 합니다. 처음에 L했다가 변경했는데 탁월합니다. 가슴 팔은 쪼이고 배쪽은 헐렁하이 체지방이 있는 저에겐 딱이네요,없음,없음,없음,없음,없음,없음,없음,없음
